dt_txt,main.temp,main.humidity,wind.speed,visibility,clouds.all,weather,city
2025-06-08 06:00:00,11.47,85,4.02,10000,37,,"Paris,FR"
2025-06-08 09:00:00,16.32,59,4.59,10000,45,,"Paris,FR"
2025-06-08 12:00:00,17.48,48,4.17,10000,66,,"Paris,FR"
2025-06-08 15:00:00,20.3,35,5.02,10000,66,,"Paris,FR"
2025-06-08 18:00:00,18.44,44,3.92,10000,41,,"Paris,FR"
2025-06-08 21:00:00,14.81,60,1.99,10000,2,,"Paris,FR"
2025-06-09 00:00:00,12.97,66,1.16,10000,1,,"Paris,FR"
2025-06-09 03:00:00,11.48,73,1.25,10000,3,,"Paris,FR"
2025-06-09 06:00:00,13.15,67,0.99,10000,4,,"Paris,FR"
2025-06-09 09:00:00,18.16,48,1.49,10000,2,,"Paris,FR"
2025-06-09 12:00:00,21.98,35,1.94,10000,24,,"Paris,FR"
2025-06-09 15:00:00,23.34,34,2.28,10000,53,,"Paris,FR"
2025-06-09 18:00:00,22.16,38,2.25,10000,27,,"Paris,FR"
2025-06-09 21:00:00,18.27,56,1.39,10000,8,,"Paris,FR"
2025-06-10 00:00:00,16,69,0.93,10000,28,,"Paris,FR"
2025-06-10 03:00:00,14.64,74,0.44,10000,18,,"Paris,FR"
2025-06-10 06:00:00,15.86,67,0.98,10000,44,,"Paris,FR"
2025-06-10 09:00:00,21.26,49,1.7,10000,92,,"Paris,FR"
2025-06-10 12:00:00,24.92,37,2.45,10000,97,,"Paris,FR"
2025-06-10 15:00:00,26.22,34,3.13,10000,50,,"Paris,FR"
2025-06-10 18:00:00,24.24,39,3.06,10000,68,,"Paris,FR"
2025-06-10 21:00:00,19.62,64,2.91,10000,99,,"Paris,FR"
2025-06-11 00:00:00,17.14,73,1.78,10000,90,,"Paris,FR"
2025-06-11 03:00:00,15.37,79,1.36,10000,3,,"Paris,FR"
2025-06-11 06:00:00,17.13,71,1.85,10000,1,,"Paris,FR"
2025-06-11 09:00:00,23.13,51,3.07,10000,6,,"Paris,FR"
2025-06-11 12:00:00,27.45,37,4,10000,29,,"Paris,FR"
2025-06-11 15:00:00,28.59,35,4.31,10000,95,,"Paris,FR"
2025-06-11 18:00:00,26.57,46,4.18,10000,97,,"Paris,FR"
2025-06-11 21:00:00,22.8,63,3.41,10000,26,,"Paris,FR"
2025-06-12 00:00:00,20.69,68,3.01,10000,60,,"Paris,FR"
2025-06-12 03:00:00,19.34,72,3.09,10000,100,,"Paris,FR"
2025-06-12 06:00:00,20.25,67,2.49,10000,98,,"Paris,FR"
2025-06-12 09:00:00,25.24,54,2.3,10000,93,,"Paris,FR"
2025-06-12 12:00:00,29.29,45,3.5,10000,97,,"Paris,FR"
2025-06-12 15:00:00,24.91,70,4.32,10000,97,,"Paris,FR"
2025-06-07 18:00:00,25.81,93,1.51,10000,100,,"Suzhou,CN"
2025-06-07 21:00:00,25.9,94,1.15,10000,100,,"Suzhou,CN"
2025-06-08 00:00:00,24.75,96,2.29,7038,100,,"Suzhou,CN"
2025-06-08 03:00:00,24.04,94,3.52,9022,100,,"Suzhou,CN"
2025-06-08 06:00:00,21.7,80,4.98,6069,100,,"Suzhou,CN"
2025-06-08 09:00:00,20.02,84,6.19,10000,100,,"Suzhou,CN"
2025-06-08 12:00:00,21.06,81,2.98,10000,100,,"Suzhou,CN"
2025-06-08 15:00:00,20.61,89,2.72,10000,100,,"Suzhou,CN"
2025-06-08 18:00:00,21.11,90,3.22,10000,100,,"Suzhou,CN"
2025-06-08 21:00:00,21,90,2.96,10000,100,,"Suzhou,CN"
2025-06-09 00:00:00,21.52,91,2.77,10000,100,,"Suzhou,CN"
2025-06-09 03:00:00,22.64,89,2.89,10000,100,,"Suzhou,CN"
2025-06-09 06:00:00,22.22,92,3.23,10000,100,,"Suzhou,CN"
2025-06-09 09:00:00,21.41,95,3.21,3758,100,,"Suzhou,CN"
2025-06-09 12:00:00,21.56,92,3.7,10000,100,,"Suzhou,CN"
2025-06-09 15:00:00,20.93,87,1.04,10000,93,,"Suzhou,CN"
2025-06-09 18:00:00,20.96,86,1.52,10000,97,,"Suzhou,CN"
2025-06-09 21:00:00,20.85,91,1.39,10000,100,,"Suzhou,CN"
2025-06-10 00:00:00,23.46,80,1.74,10000,100,,"Suzhou,CN"
2025-06-10 03:00:00,27.35,63,3.3,10000,100,,"Suzhou,CN"
2025-06-10 06:00:00,29.65,44,4.62,10000,94,,"Suzhou,CN"
2025-06-10 09:00:00,27.01,52,3.89,10000,100,,"Suzhou,CN"
2025-06-10 12:00:00,24.63,62,2.96,10000,100,,"Suzhou,CN"
2025-06-10 15:00:00,23.16,71,2.24,10000,99,,"Suzhou,CN"
2025-06-10 18:00:00,22.38,78,1.46,10000,99,,"Suzhou,CN"
2025-06-10 21:00:00,21.8,79,2.69,10000,100,,"Suzhou,CN"
2025-06-11 00:00:00,24.01,64,2.62,10000,100,,"Suzhou,CN"
2025-06-11 03:00:00,26.18,55,2.85,10000,100,,"Suzhou,CN"
2025-06-11 06:00:00,28.59,46,2.68,10000,98,,"Suzhou,CN"
2025-06-11 09:00:00,25.21,63,4.73,10000,99,,"Suzhou,CN"
2025-06-11 12:00:00,22.41,72,4.49,10000,96,,"Suzhou,CN"
2025-06-11 15:00:00,21.63,80,4.04,10000,100,,"Suzhou,CN"
2025-06-11 18:00:00,21.71,84,3.29,10000,100,,"Suzhou,CN"
2025-06-11 21:00:00,21.65,88,3.92,10000,100,,"Suzhou,CN"
